NAME,N,P,K,MG,CA,S,B,FE,ZN,CU,MO,MN,NA,SI,CL
"Sweet Potato (MRM leaf - Early vining)","4","0,3","2,5","0,5","0,8","0,2","20","40","25","5","0","40","0","0","0"
"Cannabis (MRM leaf - late veg Kalinowski)","4,15","0,34","2,75","0,52","3,4","0,31","59","126","40","4,3","0","165","0","0","0"
"Strawberry (MRM leaf - initial flower)","4","0,4","3","0,5","1,5","0","40","100","40","10","0","100","0","0","0"
"Tomato (MRM leaf - initial flower)","4","0,4","4","0,5","2","0,8","40","100","40","15","0,6","100","0","0","0"
"Cannabis (MRM leaf - late veg Bryson and Mills)","4,05","0,37","2,1","0,6","2,95","0,215","80,5","125","38","6","0","67","0","0","0"
"Cannabis (MRM leaf - late veg Landis)","3,6","0,375","2,25","0,355","1,3","0,24","40","95,5","34,5","6,6","0","48","0","0","0"
"Cannabis (MRM leaf - late veg North Carolina)","4,15","0,375","2,25","0,475","2,2","0,3","60","110","46,5","8","0","99","0","0","0"
"Cucumber (MRM leaf - initial flower)","3,75","0,45","2,3","0,45","2,4","0,55","40","70","35","12,5","0,65","65","0","0","0"
"Pepper (MRM leaf - initial flower)","4","0,4","3,75","0,4","1,2","0,45","35","90","52,5","7,5","0","65","0","0","0"
"Spinach (MRM leaf - at harvest)","3,5","0,4","3","1,15","0,8","0","30","0","60","6","0,55","40","0","0","0"
"Lettuce (MRM leaf - 8 leaf stage)","4,5","0,5","6","0,4","1,5","0,15","22,5","100","37,5","7,5","0","30","0","0","0"
